Section,Screen Name,Prompt
WEB_DASHBOARD,Owner Login,"Create a clean and professional Login screen for Routewise, a construction project management app. Include fields for email and password, a 'Forgot Password' link, and a strong construction-themed visual style."
WEB_DASHBOARD,Company Registration,"Build a company registration screen for Routewise where a construction company creates its account. Include fields for company name, owner name, phone, email, and password. Add a construction-industry look and feel."
WEB_DASHBOARD,Dashboard,"Design a Routewise Dashboard for construction companies showing project counts (active, completed), active workers, and recent activity. Use cards and a clean layout with construction-themed colors."
WEB_DASHBOARD,Workers List,"Create a Workers List screen for Routewise showing all field workers with their status (Available, On Site, Off Duty). Include search, filter by role (Foreman, Electrician, Laborer), and edit options."
WEB_DASHBOARD,Add Worker,"Design an Add Worker form for Routewise with fields for name, phone, role/trade specialty, and optional email. Tailor it for construction field crews with roles like Foreman, Electrician, Plumber, Laborer."
WEB_DASHBOARD,Customers List,"Create a Customers List screen for Routewise showing property owners and general contractors. Include search, sorting, and quick access to their projects."
WEB_DASHBOARD,Add Customer,"Build an Add Customer screen for Routewise with fields for customer name, company, phone, email, and primary address."
WEB_DASHBOARD,Projects List,"Design a Projects List screen for Routewise showing all construction projects with status tags (Scheduled, In Progress, Completed, On Hold). Include filters by status, search by name/address, and sort options."
WEB_DASHBOARD,Create Project,"Create a New Project screen for Routewise where owners can define project title, site address, customer, project type (Residential/Commercial/Renovation), assigned worker, start date, and project description."
WEB_DASHBOARD,Project Details,"Build a Project Details screen for Routewise showing project info, timeline, assigned worker, uploaded files (photos/documents), notes, and activity log. Include sections for Photos and Documents with category badges."
WEB_DASHBOARD,Upload Files,"Create an Upload Files screen where the owner can upload photos or PDF documents to a project. Include category selection (Progress, Contract, Site Photo, Invoice, Report), optional description, and drag-and-drop upload."
WEB_DASHBOARD,View Project Files,"Design a Project Files screen showing all uploaded photos and documents in a grid/list view. Photos show thumbnails, documents show PDF icon. Include category filters, full-screen viewer for photos, and download option for PDFs."
WEB_DASHBOARD,Settings,"Design a Routewise Settings screen where owners can manage company info (name, phone, address), change password, and manage worker permissions."
MOBILE_APP,Worker Login,"Create a Worker Login screen for Routewise using phone number and password. Simple, fast, and mobile-friendly for construction field workers with large touch targets."
MOBILE_APP,My Projects,"Design a My Projects screen showing all assigned construction projects with site address, customer name, project status, and next scheduled date. Optimized for mobile use in the field with clear status indicators."
MOBILE_APP,Project Details,"Build a Project Details screen for mobile showing project info, site address, customer contact, safety notes, and assigned tasks. Include large action buttons for 'Take Photo', 'View Files', and 'Update Status'."
MOBILE_APP,Take Photo,"Create a Take Photo screen allowing workers to capture site photos using device camera. After capture, show preview with options to retake or continue. Then show category selection (Progress Photo, Site Photo, Before/After, Safety Issue) and optional description field before uploading."
MOBILE_APP,Upload Photo,"Design an Upload Photo screen where workers can review the captured photo, select category from a visual picker (Progress, Site Photo, Safety, Materials), add optional notes, and tap 'Upload' with upload progress indicator."
MOBILE_APP,View Project Files,"Create a mobile-optimized Project Files screen showing photo thumbnails in a grid with category badges. Tapping a photo opens full-screen viewer with swipe navigation and category/date info."
MOBILE_APP,Update Project Status,"Create a simple screen for workers to update project status with large, clear options: 'Started Work', 'In Progress', 'Break', 'Completed Today', 'Issue/Blocked'. Include optional note input for additional context."
MOBILE_APP,My Profile,"Design a Worker Profile screen showing worker name, phone, role, active projects count, and photos uploaded this week. Include logout button and app version info."
