Section,Screen Name,Prompt,Color Notes
WEB_DASHBOARD,Owner Login,"Create a split-screen login for RouteWise with navy blue (#1e3a5f) left side showing 'RouteWise' branding, tagline 'Streamline Your Field Operations', and stats (Active Companies, Jobs Completed, Uptime). White right side with 'Welcome back' heading, email and password inputs with light backgrounds (#e8eef5), orange 'Forgot Password' link (#ff6b35), navy 'Sign In' button. Include 'Create Account' option. Professional construction theme.","Navy left (#1e3a5f), White right, Orange accents (#ff6b35), Light inputs (#e8eef5)"
WEB_DASHBOARD,Company Registration,"Build a split-screen registration for RouteWise. Navy blue (#1e3a5f) left side with branding and benefits. White right side with registration form: company name, owner name, phone, email, password fields with light backgrounds (#e8eef5). Orange 'Create Account' button (#ff6b35). Include Terms of Service link. Construction-industry professional style.","Navy branding (#1e3a5f), Light inputs (#e8eef5), Orange button (#ff6b35)"
WEB_DASHBOARD,Dashboard,"Design a RouteWise Dashboard with navy blue (#1e3a5f) top header/sidebar, light gray background (#f5f7fa), white cards with subtle shadows. Show project counts with orange numbers (#ff6b35) for active projects, green for completed, navy for total. Active workers list with status dots (green=available, orange=on-site). Recent activity timeline. Use orange for CTAs and active navigation items.","Navy header (#1e3a5f), Light bg (#f5f7fa), White cards, Orange accents (#ff6b35)"
WEB_DASHBOARD,Workers List,"Create Workers List with navy header (#1e3a5f), light background (#f5f7fa), white table/cards. Status badges: green 'Available', orange 'On Site' (#ff6b35), gray 'Off Duty'. Search bar with light background (#e8eef5). Orange 'Add Worker' button. Filter chips with navy borders. Clean, professional construction theme.","Navy header (#1e3a5f), Orange active status (#ff6b35), Light bg (#f5f7fa)"
WEB_DASHBOARD,Add Worker,"Design Add Worker modal/form on light background with white card. Navy header (#1e3a5f) 'Add New Worker'. Input fields for name, phone, role with light backgrounds (#e8eef5). Role dropdown with options (Foreman, Electrician, Plumber, Laborer). Orange 'Save' button (#ff6b35), gray 'Cancel'. Professional, clean layout.","White card, Light inputs (#e8eef5), Navy header (#1e3a5f), Orange save button (#ff6b35)"
WEB_DASHBOARD,Customers List,"Create Customers List with navy header (#1e3a5f), light background (#f5f7fa), white cards for each customer. Display customer name (navy text), company (gray text), contact info. Search bar with light background. Orange 'Add Customer' button (#ff6b35). Grid or list view toggle. Clean, organized layout.","Navy header (#1e3a5f), White cards, Orange CTA (#ff6b35), Light bg (#f5f7fa)"
WEB_DASHBOARD,Add Customer,"Build Add Customer form with white card on light background. Navy header 'New Customer' (#1e3a5f). Light input backgrounds (#e8eef5) for name, company, phone, email, address. Orange 'Save Customer' button (#ff6b35). Gray cancel option. Professional construction theme.","White card, Navy header (#1e3a5f), Light inputs (#e8eef5), Orange button (#ff6b35)"
WEB_DASHBOARD,Projects List,"Design Projects List with navy header (#1e3a5f), light background (#f5f7fa), white project cards in grid. Status badges: blue 'Scheduled', orange 'In Progress' (#ff6b35), green 'Completed', gray 'On Hold'. Each card shows project title (navy), address (gray), customer name, assigned worker. Search and filter bar. Orange 'New Project' button (#ff6b35).","Navy header (#1e3a5f), White cards, Orange in-progress (#ff6b35), Light bg (#f5f7fa)"
WEB_DASHBOARD,Create Project,"Create New Project form with white card. Navy header 'Create New Project' (#1e3a5f). Light input backgrounds (#e8eef5) for title, address, customer dropdown, project type (Residential/Commercial/Renovation), worker assignment, start date, description. Orange 'Create Project' button (#ff6b35). Clean, professional construction layout.","White card, Navy header (#1e3a5f), Light inputs (#e8eef5), Orange button (#ff6b35)"
WEB_DASHBOARD,Project Details,"Build Project Details page with navy header (#1e3a5f), light background (#f5f7fa). White card sections for: Project Info (title, address, customer), Timeline (dates), Assigned Worker (with avatar), Files section with photo thumbnails and PDF icons. Orange badges for categories (#ff6b35). Activity log at bottom. Orange action buttons for 'Upload Files' and 'Edit'.","Navy header (#1e3a5f), White sections, Orange accents (#ff6b35), Light bg (#f5f7fa)"
